codigoParroquia;nombreParroquia;idCanton
428;PUNA;05
429;PUNZARA;26
430;PURUNUMA (EGUIGUREN);184
431;PUYO ;11
432;QUERO ;126
433;QUEVEDO ;71
434;QUINARA;26
435;QUINSALOMA ;172
436;QUISAPINCHA (QUIZAPINCHA);42
437;QUITO;04
438;RICAURTE;01
439;RIO BLANCO;08
440;RÍO NEGRO;91
441;RÍO TOACHI;53
442;RÍO VERDE;53
443;RIO VERDE ;156
444;RIOBAMBA ;54
445;RIOCHICO (RIO CHICO);85
446;ROBERTO ASTUDILLO (CAB EN CRUCE DE VENECIA);79
447;ROCA;05
448;ROCAFUERTE;05
449;ROCAFUERTE ;196
450;ROSA ZÁRATE (QUININDÉ) ;106
451;RUMIPAMBA;12
452;SABANILLA;163
453;SAGRARIO;94
454;SALANGO;43
455;SALINAS;47
456;SALINAS ;25
457;SAMBORONDÓN ;50
458;SAN ANDRES;132
459;SAN ANDRÉS;58
460;SAN ANTONIO;04
461;SAN BARTOLOMÉ DE PINLLOG;42
462;SAN BLAS;01
463;SAN BUENAVENTURA;70
464;SAN CAMILO;71
465;SAN CARLOS;13
466;SAN CRISTÓBAL;71
467;SAN FELIPE DE OÑA ;34
468;SAN FERNANDO ;51
469;SAN FRANCISCO;18
470;SAN FRANCISCO DE BORJA (VIRGILIO DÁVILA);121
471;SAN FRANCISCO DE CHINIMBIMI;19
472;SAN FRANCISCO DE NATABUELA;113
473;SAN GABRIEL ;45
474;SAN GERARDO;16
475;SAN ISIDRO;73
476;SAN JACINTO DE BUENA FE ;171
477;SAN JOAQUÍN;01
478;SAN JOSE;158
479;SAN JOSE DE ANCON;03
480;SAN JOSÉ DE AYORA;55
481;SAN JOSÉ DE CHALTURA;113
482;SAN JOSE DE CHAMANGA;66
483;SAN JOSÉ DE CHIMBO ;81
484;SAN JOSÉ DE MORONA;67
485;SAN JOSE DE QUICHINCHE;112
486;SAN JOSE DEL PAYAMINO;83
487;SAN JOSE DEL TAMBO (TAMBOPAMBA);92
488;SAN JUAN;54
489;SAN JUAN BOSCO ;46
490;SAN JUAN DE ILUMÁN;112
491;SAN JUAN DE MUYUNA;07
492;SAN JUAN DE PASTOCALLE;70
493;SAN LORENZO;28
494;SAN LORENZO ;122
495;SAN LORENZO DE JIPIJAPA;72
496;SAN LUIS;112
497;SAN LUIS DE PAMBIL;47
498;SAN MATEO;28
499;SAN MIGUEL;30
500;SAN MIGUEL ;89
501;SAN MIGUEL DE IBARRA ;18
502;SAN MIGUEL DE LOS BANCOS ;108
503;SAN MIGUELITO;58
504;SAN PABLO;112
505;SAN PABLO DE USHPAYACU;153
506;SAN PEDRO DE LOS COFANES;44
507;SAN PEDRO DE TABOADA;12
508;SAN PEDRO DE VILCABAMBA;26
509;SAN PLACIDO;85
510;SAN RAFAEL;12
511;SAN SEBASTIÁN;01
512;SAN SEBASTIÁN DEL COCA;14
513;SAN VICENTE ;86
514;SANGAY (CAB. EN NAYAMANACA);32
515;SANGOLQUÍ ;12
516;SANTA ANA DE VUELTA LARGA;199
517;SANTA CECILIA;75
518;SANTA CLARA;158
519;SANTA ELENA ;03
520;SANTA ISABEL (CHAGUARURCO) ;09
521;SANTA LUCIA ;169
522;SANTA LUCÍA DE LAS PEÑAS;155
523;SANTA MARIANITA (BOCA DE PACOCHE);28
524;SANTA MARIANITA DE JESUS;21
525;SANTA ROSA;33
526;SANTA ROSA ();133
527;SANTA ROSA DE CUZUBAMBA;55
528;SANTA ROSA DE SUCUMBIOS;80
